Sample (%),Error Suara 1,Error Suara 2,Error Suara 3,Error Golput
5,17.28574284728932,11.504047777785198,9.560753197725283,7.738555580873592
10,12.163673097917025,8.224731078045165,6.301526002562355,4.172655430744277
15,10.300116311037863,7.035563521588699,5.224941091993423,2.6344111062533755
20,7.3039509031980705,7.14358249119672,0.22329605696241117,2.3797757770226804
25,3.7195272941552493,2.4041764840471878,2.1240495021055725,1.5031813375006857
30,2.8013551015439657,2.606699276421207,0.134188610794932,2.038190196613223
35,3.2554157515619693,2.907303699670562,0.38672788687894255,1.9096252770070108
40,2.8781029694435825,2.4902080101578834,0.475081261150641,2.321252627721058
45,1.9209298932979937,1.791752154817999,0.059311549223995834,2.6529937566369024
50,2.1531597171423957,1.614295051571338,0.81563013537475,1.3337713257472374
55,1.3751775037096658,1.1910002578955536,0.22787195816169808,0.958391283372068
60,0.6004592659887744,0.5259123781294466,0.11627402364773123,0.9666984893929067
65,0.7133496526431957,0.6913179255730537,0.02830996925923916,1.7117804748852312
70,0.15991465869938193,0.28238214645886883,0.7556532441625947,1.939968723277931
75,0.3796153147661135,0.6859077998134834,0.5577526576550399,1.18928182051615
80,0.28094907558034227,0.540986651275057,0.4723095731499618,0.9373514853435851
85,0.04844156707494185,0.3337511873666816,0.5034617955219529,0.9331230044826839
90,0.04180909071376447,0.29166569576663726,0.43841920819644303,0.9403947282925148
95,0.05142184126473875,0.06536552569007682,0.20166371245686623,0.3747950730725123
