Sample (%),Error Suara 1,Error Suara 2,Error Suara 3,Error Golput
5,10.321963004050225,12.062146860391127,0.8594453302799164,13.192352773364412
10,7.161240177615104,8.022493290211582,0.07342734019371704,9.174421667443974
15,4.48633934881818,0.6671296347620792,8.526061192569731,7.548225087500416
20,1.5964575903728744,3.3820186221479074,7.788882306885285,2.69098739433108
25,2.525293629404344,1.2378377332872337,6.0714779941550985,5.814412261990042
30,2.614724788400621,1.621240320527492,6.739930342945803,8.99102655277394
35,0.5002631441014208,5.170864943099423,6.749205455846987,10.613126687977847
40,1.9089341557794286,5.496309287022485,4.852007153135148,9.67541918113941
45,2.7367034932116443,6.01744000375741,4.239678782959915,8.942224392495275
50,5.293147997288558,8.944205838611069,4.268957390842617,10.220322871789882
55,4.913819730962638,9.195296069391485,5.261600409718254,11.978689798794036
60,5.16090519658567,8.984367851165578,4.547265328038515,10.641124263988877
65,4.037300063333362,7.66740496543375,4.491196255783853,9.927845109037579
70,3.689608307660926,7.44352180550219,4.697946761559089,12.359206291467775
75,3.3230283098736084,7.243976090631505,5.0152231243046215,12.739873544858044
80,3.2052942886412894,7.325419180945926,5.322319384751758,13.597644574123375
85,3.0380330516005123,6.877427990782139,4.927141014606356,13.781618493050923
90,3.05234411213396,6.620966961319665,4.508061801545378,14.11902977116058
95,3.1974078432285102,7.105970380304944,4.993888795395013,14.096718452030562
